ID,100145
User,
Sentence,彼は壁を全て緑色に塗った。
Index,彼(かれ)[01] は 壁[01] を 全て 緑色~ に 塗る{塗った}
Furigana,[彼|かれ]は[壁|かべ]を[全|すべ]て[緑色|りょく|しょく]に[塗|ぬ]った。
Parsed Index,[彼|かれ]　[壁|かべ]　[全て|すべ]　[緑色|みどりいろ]　[塗る|ぬ]
Errors,みどりいろ【緑色】
Correction,[彼|かれ]は[壁|かべ]を[全|すべ]て[緑色|みどり|いろ]に[塗|ぬ]った。
Checked?,
,
ID,100216
User,
Sentence,彼は物静かな人で、良家の出だった。
Index,彼(かれ)[01] は 物静か{物静かな}~ 人(ひと) で(#2028980) 良家 の 出(で) だ{だった}
Furigana,[彼|かれ]は[物静|もの|しず]かな[人|ひと]で、[良家|りょう|け]の[出|だし]だった。
Parsed Index,[彼|かれ]　[物静か|ものしず]　[人|ひと]　[良家|りょうけ]　[出|で]
Errors,で【出】
Correction,[彼|かれ]は[物静|もの|しず]かな[人|ひと]で、[良家|りょう|け]の[出|で]だった。
Checked?,
,
ID,100224
User,
Sentence,彼は物わかりのいい人だと思います。
Index,彼(かれ)[01] は 物分り{物わかり}~ の いい(#2820690)[01] 人(ひと) だ と 思う{思います}
Furigana,[彼|かれ]は[物|もの]わかりのいい[人|じん]だと[思|おも]います。
Parsed Index,[彼|かれ]　[物分り|ものわか]　[人|ひと]　[思う|おも]
Errors,ひと【人】
Correction,[彼|かれ]は[物|もの]わかりのいい[人|ひと]だと[思|おも]います。
Checked?,
,
ID,100226
User,
Sentence,彼は仏教からキリスト教へ改宗した。
Index,彼(かれ)[01] は 仏教 から キリスト教 へ 改宗~ 為る(する){した}
Furigana,[彼|かれ]は[仏|ふつ][教|きょう]からキリスト[教|きょう]へ[改宗|かい|しゅう]した。
Parsed Index,[彼|かれ]　[仏教|ぶっきょう]　[キリスト教|キリストきょう]　[改宗|かいしゅう]
Errors,ぶっきょう【仏教】
